Food Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),FDC ID
"Potato, home fries, NFS",197.0,1.92,18.4,13.03,2709472
"Potatoes, baked, flesh, with salt",390.0,1.96,21.6,0.1,170112
"Potatoes, canned, drained solids",60.0,1.41,13.6,0.21,170444
"Potatoes, canned, solids and liquids",44.0,1.2,9.89,0.11,170443
"Potatoes, flesh and skin, raw",322.0,2.05,17.5,0.09,170026
"Potatoes, mashed, ready-to-eat",444.0,1.97,13.3,5.01,169768
"Potatoes, o'brien, frozen, prepared",204.0,2.22,21.9,13.2,170454
"Potatoes, o'brien, frozen, unprepared",76.0,1.83,17.5,0.14,170453
"Potatoes, o'brien, home-prepared",81.0,2.35,15.5,1.28,170498
"Sweet potato fries, frozen",192.0,2.27,37.45,9.39,2709711
"Sweet potato fries, NFS",192.0,2.27,37.45,9.39,2709709
"Sweet potato fries, school",192.0,2.27,37.45,9.39,2709714
"Sweet potato leaves, raw",42.0,2.49,8.82,0.51,169303
"Sweet potato, canned, mashed",421.0,1.98,23.2,0.2,169305
"Sweet potato, cooked, as ingredient",82.0,1.65,18.05,0.4,2710794
"Potato chips, restructured, lightly salted",559.0,6.71,53.43,35.32,2709440
"Potato tots, fast food / restaurant",236.0,1.89,24.31,15.4,2709512
"Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style",183.0,14.0,2.54,13.12,2706822
"Snacks, potato chips, made from dried potatoes, fat-free, made with olestra",253.0,5.06,56.0,0.93,168864
"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",547.0,6.6,51.3,37.0,167554
"Potatoes, hash brown, frozen, plain, unprepared",82.0,2.06,17.7,0.62,170043
"Potato chips, ruffled, barbecue flavored",487.0,6.51,55.92,31.06,2709428
"Potato chips, ruffled, cheese flavored",487.0,6.51,55.92,31.06,2709430
"Potato chips, ruffled, other flavored",487.0,6.51,55.92,31.06,2709431
"Potato salad, made with creamy dressing",140.0,1.59,16.8,7.53,2709547
"Potato salad, made with Italian dressing",108.0,1.44,17.86,3.56,2709549
"Potato salad, made with light mayonnaise",105.0,1.41,16.98,3.65,2709544
"Potato, mashed, from fast food",89.0,1.65,14.65,2.82,2709493
"Potato, mashed, from fresh, NFS",114.0,2.15,17.6,4.07,2709499
"Potato, mashed, from restaurant, with gravy",120.0,1.8,14.48,6.3,2709501
"Potato, mashed, from school lunch",77.0,2.14,13.2,1.89,2709502
"Potato, mashed, ready-to-heat, NFS",106.0,1.97,13.29,5.01,2709507
"Potato, mashed, ready-to-heat, with cheese",138.0,4.26,12.13,8.12,2709508
"Potato, mashed, ready-to-heat, with gravy",94.0,1.72,11.69,4.53,2709509
"Potato, scalloped, from dry mix",169.0,6.91,13.54,9.79,2709452
"Potato, scalloped, from fresh, with meat",173.0,7.44,12.88,10.36,2709451
"Potato, scalloped, ready-to-heat, with meat",183.0,7.1,12.74,11.58,2709455
"Stewed potatoes, Puerto Rican style",115.0,2.09,18.75,3.71,2709416
"Potato, baked, peel eaten, with cheese",153.0,4.09,17.43,7.69,2709527
"Potato, baked, peel eaten, with chili",143.0,4.85,17.33,6.23,2709529
"Potato, baked, peel eaten, with meat",160.0,4.74,17.09,8.28,2709528
"Potato, baked, peel eaten, with vegetables",142.0,4.12,17.76,6.37,2709530
"Potato, baked, peel not eaten, with cheese",153.0,3.66,17.75,7.66,2709520
"Potato, baked, peel not eaten, with chili",143.0,4.45,17.62,6.21,2709522
"Potato, baked, peel not eaten, with meat",160.0,4.32,17.4,8.26,2709521
"Potato, baked, peel not eaten, with vegetables",142.0,3.68,18.09,6.34,2709523
"Potato, french fries, fast food",312.0,3.43,41.44,14.73,2709461
"Potato, french fries, with cheese, school",181.0,4.55,17.67,10.29,2709466
"Potato, french fries, with chili and cheese",221.0,4.66,24.87,11.42,2709470
"Potato, hash brown, from fresh",190.0,1.94,18.57,12.27,2709483
"Potato, hash brown, from restaurant",272.0,2.58,28.88,17.04,2709480
"Potato, hash brown, ready-to-heat",217.0,2.62,28.23,11.48,2709486
"Potato, home fries, from fresh",185.0,1.96,18.76,11.52,2709474
"Potato, home fries, ready-to-heat",197.0,1.92,18.4,13.03,2709475
"Babyfood, corn and sweet potatoes, strained",287.0,1.26,15.2,0.28,172317
"Babyfood, vegetable, green beans and potatoes",62.0,2.2,9.0,1.9,173504
"Babyfood, vegetables, sweet potatoes strained",57.0,1.1,13.2,0.1,172276
"Babyfood, vegetables, sweet potatoes, junior",60.0,1.1,14.0,0.1,172277
"Dumpling, potato- or cheese-filled, frozen",815.0,5.26,29.6,6.14,169779
"Potato puffs, frozen, oven-heated",192.0,2.13,27.3,9.05,170048
"Potato soup, instant, dry mix",343.0,9.2,76.1,3.1,171608
"Potatoes, baked, flesh and skin, with salt",390.0,2.5,21.2,0.13,170111
"Potatoes, baked, flesh, without salt",390.0,1.96,21.6,0.1,170033
"Potatoes, baked, skin only, with salt",198.0,4.29,46.1,0.1,170113
"Potatoes, baked, skin, without salt",198.0,4.29,46.1,0.1,170034
"Potatoes, gold, without skin, raw",,1.81,16.0,0.264,2346403
"Potatoes, hash brown, refrigerated, unprepared",353.0,1.75,19.2,0.08,167604
"Potatoes, red, flesh and skin, baked",362.0,2.3,19.6,0.15,170435
"Potatoes, red, flesh and skin, raw",70.0,1.89,15.9,0.14,170029
"Potatoes, red, without skin, raw",,2.06,16.3,0.248,2346402
"Potatoes, Russet, flesh and skin, baked",397.0,2.63,21.4,0.13,170030
"Potatoes, russet, without skin, raw",,2.27,17.8,0.36,2346401
"Potatoes, scalloped, dry mix, unprepared",358.0,7.77,73.9,4.59,170449
"Potatoes, scalloped, home-prepared with margarine",88.0,2.87,10.8,3.68,170525
"Potatoes, white, flesh and skin, baked",92.0,2.1,21.1,0.15,170434
"Potatoes, white, flesh and skin, raw",288.0,1.68,15.7,0.1,170028
"Snacks, potato chips, barbecue-flavor",487.0,6.51,55.9,31.1,167962
"Snacks, potato chips, cheese-flavor",496.0,8.5,57.7,27.2,169682
"Snacks, potato chips, lightly salted",2340.0,6.72,53.5,35.4,174805
"Snacks, potato chips, plain, salted",2230.0,6.39,53.8,34.0,169677
"Snacks, potato chips, plain, unsalted",536.0,7.0,52.9,34.6,170649
"Snacks, potato chips, reduced fat",471.0,7.1,66.9,20.8,169683
"Snacks, sweet potato chips, unsalted",532.0,2.94,56.8,32.4,174783
"Soup, cream of potato, canned, condensed",74.0,1.51,12.8,1.88,171158
"Sweet potato fries, from fresh",156.0,1.49,16.35,9.42,2709712
"Sweet Potato puffs, frozen, unprepared",161.0,1.36,30.7,3.58,168016
"Sweet potato, canned, vacuum pack",91.0,1.65,21.1,0.2,168485
"Sweet potato tots, fast food / restaurant",240.0,2.12,34.87,15.6,2709716
"Chicken or turkey, potatoes, corn, and cheese, with gravy",123.0,4.51,13.27,6.11,2706666
"Potato tots, from fresh, fried or baked",237.0,1.9,24.4,15.46,2709514
"Potato tots, frozen, NS as to fried or baked",237.0,1.9,24.4,15.46,2709517
"Meat loaf with potatoes, vegetable, frozen meal",134.0,6.66,10.13,7.4,2707122
"Potato chips, sour cream and onion flavored",487.0,6.51,55.92,31.06,2709424
"Fried stuffed potatoes, Puerto Rican style",185.0,4.9,16.18,11.33,2710138
"Potato salad with egg, made with creamy dressing",142.0,2.93,14.89,7.91,2709536
"Potato salad with egg, made with Italian dressing",114.0,2.8,15.81,4.42,2709538
"Potato salad with egg, made with light mayonnaise",111.0,2.72,15.13,4.46,2709533
"Potato salad, made with light creamy dressing",95.0,1.62,16.95,2.47,2709548
"Potato salad, made with light Italian dressing",85.0,1.43,17.49,1.2,2709550
"Potato, mashed, from dry mix, NFS",117.0,2.05,12.63,6.7,2709503
"Potato, mashed, from fast food, with gravy",81.0,1.46,12.78,2.78,2709494
"Potato, mashed, from fresh, made with milk",114.0,2.15,17.6,4.07,2709496
"Potato, scalloped, from dry mix, with meat",167.0,7.3,13.12,9.6,2709453
"Potato, scalloped, from fast food or restaurant",206.0,6.66,12.99,14.34,2709449
"Potato, baked, peel eaten, with sour cream",131.0,2.47,18.7,5.46,2709526
"Potato, baked, peel not eaten, with sour cream",131.0,2.0,19.05,5.44,2709519
"Potato, french fries, from fresh, baked",166.0,2.02,19.34,9.16,2709459
"Potato, french fries, from fresh, fried",198.0,1.93,18.5,13.1,2709458
"Potato, french fries, from frozen, baked",158.0,2.75,25.55,5.48,2709460
"Potato, french fries, from frozen, fried",225.0,2.5,23.23,14.07,2709463
"Potato, french fries, NS as to fresh or frozen",225.0,2.5,23.23,14.07,2709457
"Potato, hash brown, from dry mix",217.0,2.62,28.23,11.48,2709485
"Potato, hash brown, from fast food",272.0,2.58,28.88,17.04,2709478
"Potato, hash brown, from fresh, with cheese",223.0,5.1,16.18,15.49,2709484
"Potato, hash brown, from restaurant, with cheese",295.0,6.03,24.47,19.87,2709481
"Potato, hash brown, from school lunch",218.0,2.64,28.4,11.54,2709482
"Potato, hash brown, ready-to-heat, with cheese",249.0,6.04,23.96,15.2,2709487
"Baby Toddler sweet potatoes, Stage 1",57.0,1.1,13.2,0.1,2710122
"Baby Toddler sweet potatoes, Stage 2",60.0,1.1,14.0,0.1,2710123
"Babyfood, dinner, sweet potatoes and chicken, strained",310.0,2.51,11.0,2.17,173521
"Babyfood, mashed cheddar potatoes and broccoli, toddlers",48.0,1.11,7.47,1.47,170989
"Beef shish kabob with vegetables, excluding potatoes",122.0,14.8,5.06,4.88,2706730
"Beef stew with potatoes, Puerto Rican style",220.0,14.57,6.53,14.85,2706503
"Chicken, fried, with potatoes, vegetable, frozen meal",157.0,10.26,10.63,8.13,2707106
"Fish shish kabob with vegetables, excluding potatoes",68.0,9.41,5.06,1.05,2706867
Lamb or mutton and potatoes with tomato-based sauce,126.0,5.26,12.48,6.22,2706523
"Lamb shish kabob with vegetables, excluding potatoes",162.0,12.02,5.06,10.28,2706780
"Potato chips, without salt, reduced fat",2040.0,7.1,67.8,20.8,170253
"Potatoes, au gratin, dry mix, unprepared",314.0,8.9,74.3,3.7,170447
"Potatoes, baked, flesh and skin, without salt",93.0,2.5,21.2,0.13,170093
"Potatoes, boiled, cooked in skin, flesh, with salt",364.0,1.87,20.1,0.1,170114
"Potatoes, boiled, cooked in skin, skin, with salt",78.0,2.86,17.2,0.1,170519
"Potatoes, canned, drained solids, no salt added",250.0,1.4,13.6,0.2,169084
"Carrots, raw",44.0,0.87,9.68,0.24,2709660
"Carrot, dehydrated",341.0,8.1,79.6,1.49,170500
"Muffin, carrot",314.0,5.01,44.42,13.21,2707845
"Carrots, raw, salad",212.0,1.25,17.62,15.74,2709661
"Carrots, glazed, cooked",97.0,0.9,17.32,2.78,2709677
"Babyfood, carrots, toddler",21.0,0.6,5.23,0.3,169871
"Cake or cupcake, carrot",374.0,2.49,51.8,17.52,2707859
"Carrot juice, 100%",40.0,0.95,9.28,0.15,2709683
"Carrot juice, canned",40.0,0.95,9.28,0.15,170491
"Carrots, baby, raw",,0.805,9.08,0.138,2258587
"Carrots, cooked, as ingredient",50.0,0.98,10.7,0.36,2710793
"Carrots, frozen, unprepared",153.0,0.81,7.92,0.47,746764
"Carrots, mature, raw",,0.941,10.3,0.351,2258586
"Carrots, canned, cooked with oil",50.0,0.62,5.38,3.1,2709675
"Carrots, cooked, from restaurant",86.0,0.94,10.15,4.67,2709663
"Carrots, fresh, cooked with oil",76.0,0.95,10.36,3.38,2709667
"Carrots, frozen, cooked with oil",64.0,0.78,7.67,3.36,2709673
"Carrots, NS as to form, cooked",72.0,0.96,10.36,3.0,2709669
"Babyfood, vegetables, carrots, junior",32.0,0.8,7.2,0.2,173507
"Babyfood, vegetables, carrots, strained",109.0,0.8,6.0,0.1,173506
"Peas and carrots, frozen, unprepared",53.0,3.4,11.2,0.47,170425
"Carrots, canned, cooked, no added fat",25.0,0.64,5.54,0.19,2709666
"Carrots, fresh, cooked, no added fat",50.0,0.98,10.67,0.36,2709664
"Carrots, frozen, cooked, no added fat",39.0,0.81,7.9,0.47,2709665
"Baby Toddler carrots, Stage 1",26.0,0.8,6.0,0.1,2710118
"Baby Toddler carrots, Stage 2",32.0,0.8,7.2,0.2,2710119
"Carrots, cooked, boiled, drained, with salt",147.0,0.76,8.22,0.18,169339
"Peas and carrots, cooked, NS as to form",89.0,3.22,12.47,3.03,2709687
"SMART SOUP, Vietnamese Carrot Lemongrass",44.0,1.3,8.2,1.06,171184
"Carrots, canned, reduced sodium, cooked with oil",49.0,0.57,5.2,3.05,2709680
"Broccoli, cauliflower and carrots, cooked, fat added",50.0,1.72,5.43,2.9,2710034
"Broccoli, cauliflower and carrots, cooked, no added fat",28.0,1.76,5.59,0.34,2710033
"Cake, pudding-type, carrot, dry mix",415.0,5.1,79.2,9.8,174932
"Carrots, canned, no salt added, drained solids",25.0,0.64,5.54,0.19,168518
"Carrots, canned, no salt added, solids and liquids",23.0,0.59,5.36,0.14,169340
"Carrots, canned, regular pack, drained solids",105.0,0.64,5.54,0.19,170396
"Carrots, canned, regular pack, solids and liquids",23.0,0.58,5.37,0.14,170395
"Carrots, cooked, boiled, drained, without salt",35.0,0.76,8.22,0.18,170394
"Carrots, frozen, cooked, boiled, drained, with salt",155.0,0.58,7.73,0.68,168519
"Peas and carrots, canned, cooked, fat added",68.0,2.49,8.21,3.03,2709690
"Peas and carrots, canned, cooked, no added fat",46.0,2.56,8.45,0.5,2709686
"Peas and carrots, fresh, cooked, fat added",89.0,3.22,12.47,3.03,2709688
"Peas and carrots, fresh, cooked, no added fat",67.0,3.3,12.84,0.39,2709684
"Peas and carrots, frozen, cooked, fat added",80.0,2.89,10.74,2.9,2709689
"Peas and carrots, frozen, cooked, no added fat",58.0,2.97,11.06,0.37,2709685
"Rice, white, with peas and carrots, fat added",128.0,2.69,23.25,2.45,2709007
"Rice, white, with peas and carrots, no added fat",111.0,2.75,23.76,0.3,2709006
"Rice, white, with peas and carrots, NS as to fat",128.0,2.69,23.25,2.45,2709005
"Carrots, canned, reduced sodium, cooked, no added fat",23.0,0.59,5.36,0.14,2709678
"Carrots, frozen, cooked, boiled, drained, without salt",155.0,0.58,7.73,0.68,169984
"Peas and carrots, canned, no salt added, solids and liquids",38.0,2.17,8.48,0.27,170512
"Peas and carrots, canned, regular pack, solids and liquids",38.0,2.17,8.48,0.27,170424
"Peas and carrots, frozen, cooked, boiled, drained, with salt",201.0,3.09,10.1,0.42,170513
"Carrots, canned, cooked, fat added, NS as to fat type",47.0,0.63,5.38,2.74,2709672
"Carrots, fresh, cooked, fat added, NS as to fat type",72.0,0.96,10.36,3.0,2709670
"Carrots, frozen, cooked, fat added, NS as to fat type",61.0,0.79,7.67,3.0,2709671
"Lettuce, salad with assorted vegetables excluding tomatoes and carrots, no dressing",23.0,1.19,4.09,0.19,2709823
"Lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing",24.0,1.07,4.58,0.2,2709822
"Peas and carrots, frozen, cooked, boiled, drained, without salt",48.0,3.09,10.1,0.42,170018
"Rice, brown, with carrots and dark green vegetables, fat added",120.0,2.47,21.32,2.66,2709063
"Rice, brown, with carrots and dark green vegetables, no added fat",105.0,2.51,21.72,0.82,2709062
"Rice, brown, with carrots and dark green vegetables, NS as to fat",120.0,2.47,21.32,2.66,2709061
"Rice, white, with carrots and dark green vegetables, fat added",124.0,2.38,22.49,2.44,2709022
"Rice, white, with carrots and dark green vegetables, no added fat",107.0,2.44,22.99,0.28,2709021
"Rice, white, with carrots and dark green vegetables, NS as to fat",124.0,2.38,22.49,2.44,2709020
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",152.0,0.78,7.9,0.46,169983
"Lettuce, salad with avocado, tomato, and/or carrots, with or without other vegetables, no dressing",54.0,1.29,5.5,3.39,2709824
"Lettuce, salad with cheese, tomato and/or carrots, with or without other vegetables, no dressing",91.0,4.94,4.2,6.08,2709825
"Lettuce, salad with egg, tomato, and/or carrots, with or without other vegetables, no dressing",50.0,3.4,3.88,2.31,2709826
"Rice, brown, with carrots and tomatoes and/or tomato-based sauce, fat added",111.0,2.2,20.02,2.51,2709057
"Rice, brown, with carrots and tomatoes and/or tomato-based sauce, no added fat",97.0,2.24,20.38,0.78,2709056
"Rice, brown, with carrots and tomatoes and/or tomato-based sauce, NS as to fat",111.0,2.2,20.02,2.51,2709055
"Rice, white, with carrots and tomatoes and/or tomato-based sauce, fat added",114.0,2.07,20.91,2.29,2709016
"Rice, white, with carrots and tomatoes and/or tomato-based sauce, no added fat",98.0,2.12,21.34,0.26,2709015
"Rice, white, with carrots and tomatoes and/or tomato-based sauce, NS as to fat",114.0,2.07,20.91,2.29,2709014
"Carrots, canned, reduced sodium, cooked, fat added, NS as to fat type",45.0,0.58,5.21,2.69,2709679
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",122.0,8.11,6.47,7.34,2706753
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",121.0,10.03,5.16,7.09,2706729
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",115.0,8.06,4.5,7.34,2706752
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",116.0,11.41,3.0,6.73,2706728
"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",130.0,6.19,12.85,6.16,2706632
"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",127.0,6.15,11.7,6.36,2706631
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",131.0,6.68,14.94,5.05,2706615
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",151.0,8.78,18.29,4.91,2706606
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",127.0,6.65,13.81,5.04,2706614
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",148.0,8.71,16.71,5.19,2706605
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",126.0,5.3,12.36,6.34,2706596
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",129.0,5.23,11.17,7.16,2706595
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",126.0,6.93,13.46,5.15,2706587
"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",131.0,6.97,14.97,5.1,2706588
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",135.0,5.8,16.13,5.18,2706627
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",149.0,7.62,20.0,4.29,2706617
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",131.0,5.77,15.01,5.18,2706626
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",149.0,7.54,18.38,4.86,2706616
"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",120.0,7.56,5.12,7.83,2706768
"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce",115.0,7.45,2.59,8.28,2706767
"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",126.0,5.56,15.02,5.06,2706653
"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",128.0,5.47,13.4,5.9,2706654
"Lettuce, salad with egg, cheese, tomato, and/or carrots, with or without other vegetables, no dressing",71.0,4.24,3.7,4.36,2709827
"Pork and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",124.0,10.07,5.52,7.03,2706769
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",123.0,11.2,3.14,7.27,2706758
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",126.0,5.03,12.37,6.43,2706646
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",133.0,6.59,14.94,5.44,2706647
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",126.0,4.98,11.22,6.84,2706645
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",128.0,6.55,13.44,5.43,2706637
"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",128.0,3.78,12.78,7.12,2706644
"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",128.0,3.73,11.61,7.53,2706643
"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",47.0,7.12,3.04,0.49,2706846
"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",47.0,7.66,2.62,0.5,2706845
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",124.0,9.25,6.78,6.87,2706852
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",118.0,9.35,3.8,7.25,2706851
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",121.0,7.85,6.97,7.16,2706736
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",115.0,7.8,5.24,7.16,2706735
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",129.0,6.63,14.63,5.03,2706613
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",125.0,6.6,13.58,5.06,2706612
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",131.0,8.17,12.97,5.43,2706602
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",127.0,8.14,11.82,5.43,2706601
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",143.0,8.18,15.85,5.24,2706625
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",133.0,5.81,15.73,5.23,2706623
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",147.0,8.58,15.54,5.51,2706624
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",130.0,5.78,14.69,5.23,2706622
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",119.0,7.16,6.43,7.45,2706786
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",123.0,8.72,5.08,7.96,2706782
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",112.0,7.1,4.47,7.44,2706785
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",118.0,9.66,2.88,7.78,2706781
"Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy",128.0,5.65,12.8,6.22,2706709
"Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy",127.0,5.59,11.62,6.64,2706708
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",130.0,6.13,14.86,5.2,2706682
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",151.0,8.0,18.11,5.41,2706680
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",129.0,6.08,13.69,5.62,2706681
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",147.0,7.95,16.59,5.46,2706679
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",127.0,4.75,12.27,6.82,2706670
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",132.0,6.21,14.81,5.7,2706668
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",123.0,4.72,11.17,6.82,2706669
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",129.0,6.16,13.29,5.97,2706667
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",135.0,5.25,16.03,5.46,2706693
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",151.0,6.85,19.78,4.96,2706691
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",132.0,5.21,14.89,5.66,2706692
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",150.0,6.78,18.2,5.47,2706690
"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",128.0,5.22,11.81,6.82,2706707
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",131.0,5.46,11.27,7.18,2706706
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",159.0,7.12,13.28,8.74,2706704
"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce",165.0,7.17,14.85,8.75,2706705
"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",127.0,4.84,15.35,5.38,2706590
"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",127.0,4.76,13.73,6.0,2706589
"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",141.0,8.39,15.32,5.22,2706716
"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",137.0,8.35,14.16,5.22,2706715
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",151.0,8.42,18.31,4.91,2706634
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",148.0,8.35,16.74,5.19,2706635
"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy",133.0,5.02,15.2,5.5,2706658
"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",136.0,5.05,16.34,5.51,2706656
"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",62.0,7.91,2.77,1.95,2706848
"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",64.0,8.41,2.39,2.05,2706847
"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",65.0,8.28,2.77,2.04,2706841
"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",67.0,8.8,2.39,2.14,2706842
"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",127.0,6.01,12.31,6.1,2706663
"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",127.0,5.95,11.17,6.5,2706662
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",147.0,12.13,4.34,9.15,2706744
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",144.0,11.72,4.65,8.81,2706737
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",115.0,7.67,5.96,7.18,2706734
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",110.0,8.24,4.48,6.99,2706731
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",139.0,10.4,7.44,7.64,2706609
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",130.0,6.77,14.86,5.07,2706611
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",139.0,10.31,7.6,7.58,2706608
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",126.0,6.74,13.74,5.06,2706610
